model,skenario_id,skenario,accuracy,precision,recall,f1_score,confusion_matrix,classification_report,precision_NEGATIVE,recall_NEGATIVE,f1_NEGATIVE,precision_NEUTRAL,recall_NEUTRAL,f1_NEUTRAL,precision_POSITIVE,recall_POSITIVE,f1_POSITIVE,epoch_digunakan,epoch_maksimal,units,train_accuracy,val_accuracy,train_loss,val_loss,total_params
LSTM,1,Skenario 1,0.6503,0.5972,0.6503,0.584,"[[38, 0, 106], [5, 0, 29], [17, 0, 254]]","{'NEGATIVE': {'precision': 0.6333333333333333, 'recall': 0.2638888888888889, 'f1-score': 0.37254901960784315, 'support': 144.0}, 'NEUTRAL': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 34.0}, 'POSITIVE': {'precision': 0.6529562982005142, 'recall': 0.9372693726937269, 'f1-score': 0.7696969696969697, 'support': 271.0}, 'accuracy': 0.6503340757238307, 'macro avg': {'precision': 0.42876321051128247, 'recall': 0.40038608719420526, 'f1-score': 0.3807486631016042, 'support': 449.0}, 'weighted avg': {'precision': 0.5972186120542078, 'recall': 0.6503340757238307, 'f1-score': 0.5840421773082587, 'support': 449.0}}",0.6333,0.2639,0.3725,0.0,0.0,0.0,0.653,0.9373,0.7697,20,50,64,0.6069,0.5573,0.9108,0.9789,949891
LSTM,2,Skenario 2,0.6036,0.3643,0.6036,0.4543,"[[0, 0, 144], [0, 0, 34], [0, 0, 271]]","{'NEGATIVE': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144.0}, 'NEUTRAL': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 34.0}, 'POSITIVE': {'precision': 0.6035634743875279, 'recall': 1.0, 'f1-score': 0.7527777777777778, 'support': 271.0}, 'accuracy': 0.6035634743875279, 'macro avg': {'precision': 0.20118782479584263, 'recall': 0.3333333333333333, 'f1-score': 0.25092592592592594, 'support': 449.0}, 'weighted avg': {'precision': 0.364288867614744, 'recall': 0.6035634743875279, 'f1-score': 0.4543491709972779, 'support': 449.0}}",0.0,0.0,0.0,0.0,0.0,0.0,0.6036,1.0,0.7528,19,75,64,0.67,0.5115,0.7307,1.0902,949891
LSTM,3,Skenario 3,0.5902,0.3733,0.5902,0.4563,"[[0, 9, 135], [0, 1, 33], [0, 7, 264]]","{'NEGATIVE': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 144.0}, 'NEUTRAL': {'precision': 0.058823529411764705, 'recall': 0.029411764705882353, 'f1-score': 0.0392156862745098, 'support': 34.0}, 'POSITIVE': {'precision': 0.6111111111111112, 'recall': 0.974169741697417, 'f1-score': 0.7510668563300142, 'support': 271.0}, 'accuracy': 0.5902004454342984, 'macro avg': {'precision': 0.22331154684095864, 'recall': 0.3345271688010998, 'f1-score': 0.263427514201508, 'support': 449.0}, 'weighted avg': {'precision': 0.3732986884434546, 'recall': 0.5902004454342984, 'f1-score': 0.45628608329346815, 'support': 449.0}}",0.0,0.0,0.0,0.0588,0.0294,0.0392,0.6111,0.9742,0.7511,25,100,64,0.6188,0.5598,0.8892,0.9863,949891
LSTM,4,Skenario 4,0.559,0.559,0.559,0.5013,"[[5, 58, 81], [1, 17, 16], [7, 35, 229]]","{'NEGATIVE': {'precision': 0.38461538461538464, 'recall': 0.034722222222222224, 'f1-score': 0.06369426751592357, 'support': 144.0}, 'NEUTRAL': {'precision': 0.15454545454545454, 'recall': 0.5, 'f1-score': 0.2361111111111111, 'support': 34.0}, 'POSITIVE': {'precision': 0.7024539877300614, 'recall': 0.8450184501845018, 'f1-score': 0.7671691792294807, 'support': 271.0}, 'accuracy': 0.5590200445434298, 'macro avg': {'precision': 0.41387160896363345, 'recall': 0.459913557468908, 'f1-score': 0.35565818595217175, 'support': 449.0}, 'weighted avg': {'precision': 0.5590293797639365, 'recall': 0.5590200445434298, 'f1-score': 0.5013420932544767, 'support': 449.0}}",0.3846,0.0347,0.0637,0.1545,0.5,0.2361,0.7025,0.845,0.7672,20,100,128,0.6921,0.5318,0.7084,1.2027,1036163
